3000.0 0.0000000000
3050.0 0.0160000000
3100.0 0.0680000000
3150.0 0.1670000000
3200.0 0.2870000000
3250.0 0.4230000000
3300.0 0.5600000000
3350.0 0.6730000000
3400.0 0.7720000000
3450.0 0.8410000000
3500.0 0.9050000000
3550.0 0.9430000000
3600.0 0.9810000000
3650.0 0.9930000000
3700.0 1.0000000000
3750.0 0.9890000000
3800.0 0.9160000000
3850.0 0.8040000000
3900.0 0.6250000000
3950.0 0.4230000000
4000.0 0.2380000000
4050.0 0.1140000000
4100.0 0.0510000000
4150.0 0.0190000000
4200.0 0.0000000000
